title,link,description,price
Réfrigérateur combiné encastrable  SP40800,https://www.quelfrigo.com/refrigerateur-encastrable/whirlpool/refrigerateur-combine-encastrable-sp40800-36840.html,Réfrigérateur combiné encastrable Whirlpool SP40800,"817,00€"
Réfrigérateur  porte  BSSA200M2S,https://www.quelfrigo.com/refrigerateur+1+porte/beko/refrigerateur-porte-bssa200m2s-36864.html,"Eco organisme:Eco Système;Efficacité énergétique:A+;Hauteur:121.6 cm;Largeur:54 cm;Profondeur:53.15 cm;Niveau sonore:39 dB;Garantie:GAR 2 ANS PCS, M OEUV et DPLCT;Affichage digital:Non;Classe climatique:Sn-St;Consommation d'energie:0.58 kW.h/24h;Intégrable:Oui;Pouvoir congélation:2 kg/24h;Capacité congélateur:19 L;Capacité réfrigérateur:...","277,52€"
